"Name","Price","Original Price","Discount","Availability","Image URL","Product URL","Category","Color","Description"
"MA310","$399.98","$599.98","SAVE 33%","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1556cd28/color-chips/nlwe1ifpisqotktew5wv.jpg","https://ca.jbl.com/en_CA/MA310.html?dwvar_MA310_color=Black-AM-Current&cgid=home-audio","Home Audio","Black","5.2-channel 4K AV Receiver"
"MA510","$849.99","N/A","N/A","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1556cd28/color-chips/nlwe1ifpisqotktew5wv.jpg","https://ca.jbl.com/en_CA/MA510.html?dwvar_MA510_color=White-AM-Current&cgid=home-audio","Home Audio","White","5.2-channel 8K AV Receiver"
"MA710","$999.98","$1,199.98","SAVE 17%","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1556cd28/color-chips/nlwe1ifpisqotktew5wv.jpg","https://ca.jbl.com/en_CA/MA710.html?dwvar_MA710_color=Black-AM-Current&cgid=home-audio","Home Audio","Black","7.2-channel 8K AV Receiver"
"MA7100HP","$1,399.98","$1,799.98","SAVE 22%","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw64bab681/color-chips/hlrwew97gkqiwaiuiar6.jpg","https://ca.jbl.com/en_CA/MA7100HP.html?dwvar_MA7100HP_color=White-AM-Current&cgid=home-audio","Home Audio","White","7.2-channel 8K High Performance AV Receiver"
"MA9100HP","$2,399.99","N/A","N/A","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dwdf734d87/color-chips/swatchImage_Black.png","https://ca.jbl.com/en_CA/MA9100HP.html?dwvar_MA9100HP_color=White-AM-Current&cgid=home-audio","Home Audio","White","9.2-channel 8K High Performance AV Receiver"
"Stage 240B","$329.98","$429.98","SAVE 23%","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1556cd28/color-chips/nlwe1ifpisqotktew5wv.jpg","https://ca.jbl.com/en_CA/240B.html?dwvar_240B_color=Espresso-GLOBAL-Current&cgid=home-audio","Home Audio","Espresso","2-Way 4.5-inch (114mm) Bookshelf Loudspeaker - Pair"
"Stage 250B","$569.99","N/A","N/A","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1556cd28/color-chips/nlwe1ifpisqotktew5wv.jpg","https://ca.jbl.com/en_CA/250B.html?dwvar_250B_color=Latte-GLOBAL-Current&cgid=home-audio","Home Audio","Latte","2-Way 5.25-inch (130mm) Bookshelf Loudspeaker - Pair"
"Stage 260F","$699.99","N/A","N/A","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw64bab681/color-chips/hlrwew97gkqiwaiuiar6.jpg","https://ca.jbl.com/en_CA/260F.html?dwvar_260F_color=Latte-GLOBAL-Current&cgid=home-audio","Home Audio","Latte","2.5-Way Dual 6.5-inch (165mm) Floorstanding Loudspeaker"
"Stage 280F","$849.99","N/A","N/A","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw64bab681/color-chips/hlrwew97gkqiwaiuiar6.jpg","https://ca.jbl.com/en_CA/280F.html?dwvar_280F_color=Espresso-GLOBAL-Current&cgid=home-audio","Home Audio","Espresso","2.5-Way Dual 8-inch (200mm) Floorstanding Loudspeaker"
"Stage 240H","$429.99","N/A","N/A","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1556cd28/color-chips/nlwe1ifpisqotktew5wv.jpg","https://ca.jbl.com/en_CA/240H.html?dwvar_240H_color=Latte-GLOBAL-Current&cgid=home-audio","Home Audio","Latte","2-Way 4.5-inch (114mm) Dolby Atmos® Surround Sound Loudspeaker - Pair"
"Stage 245C","$569.99","N/A","N/A","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1556cd28/color-chips/nlwe1ifpisqotktew5wv.jpg","https://ca.jbl.com/en_CA/245C.html?dwvar_245C_color=Latte-GLOBAL-Current&cgid=home-audio","Home Audio","Latte","2.5-Way Quad 4.5-inch (114mm) Center Channel Loudspeaker"
"Stage 200P","$549.98","$699.98","SAVE 21%","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw64bab681/color-chips/hlrwew97gkqiwaiuiar6.jpg","https://ca.jbl.com/en_CA/200P.html?dwvar_200P_color=Latte-AM-Current&cgid=home-audio","Home Audio","Latte","10-inch (250mm) 300W Powered Subwoofer"
"MA310","$399.98","$599.98","SAVE 33%","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1556cd28/color-chips/nlwe1ifpisqotktew5wv.jpg","https://ca.jbl.com/en_CA/MA310.html?dwvar_MA310_color=Black-AM-Current&cgid=home-audio","Home Audio","Black","5.2-channel 4K AV Receiver"
"MA510","$849.99","N/A","N/A","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1556cd28/color-chips/nlwe1ifpisqotktew5wv.jpg","https://ca.jbl.com/en_CA/MA510.html?dwvar_MA510_color=White-AM-Current&cgid=home-audio","Home Audio","White","5.2-channel 8K AV Receiver"
"MA710","$999.98","$1,199.98","SAVE 17%","In Stock","https://ca.jbl.com/on/demandware.static/-/Sites-masterCatalog_Harman/default/dw1556cd28/color-chips/nlwe1ifpisqotktew5wv.jpg","https://ca.jbl.com/en_CA/MA710.html?dwvar_MA710_color=Black-AM-Current&cgid=home-audio","Home Audio","Black","7.2-channel 8K AV Receiver"
